epoch	train_loss	val_loss	lr
1	6.56e-04	1.00e-03	2.000000e-07
2	6.21e-04	9.34e-04	4.000000e-07
3	5.64e-04	8.50e-04	6.000000e-07
4	5.04e-04	7.57e-04	8.000000e-07
5	4.42e-04	6.69e-04	1.000000e-06
6	3.94e-04	6.15e-04	1.000000e-06
7	3.67e-04	5.45e-04	9.989038e-07
8	3.34e-04	5.05e-04	9.956206e-07
9	3.19e-04	4.82e-04	9.901664e-07
10	3.10e-04	4.43e-04	9.825678e-07
11	3.01e-04	4.25e-04	9.728617e-07
12	2.98e-04	4.21e-04	9.610955e-07
13	2.96e-04	4.19e-04	9.473264e-07
14	2.95e-04	4.00e-04	9.316216e-07
15	2.95e-04	4.07e-04	9.140576e-07
16	2.94e-04	4.07e-04	8.947200e-07
17	2.93e-04	4.05e-04	8.737029e-07
18	2.94e-04	4.08e-04	8.511088e-07
19	2.93e-04	3.96e-04	8.270477e-07
20	2.93e-04	3.90e-04	8.016368e-07
21	2.92e-04	3.97e-04	7.750000e-07
22	2.93e-04	4.05e-04	7.472670e-07
23	2.92e-04	3.89e-04	7.185730e-07
24	2.92e-04	3.96e-04	6.890576e-07
25	2.92e-04	3.99e-04	6.588649e-07
26	2.91e-04	3.95e-04	6.281417e-07
27	2.91e-04	3.89e-04	5.970378e-07
28	2.91e-04	3.79e-04	5.657048e-07
29	2.93e-04	3.81e-04	5.342952e-07
30	2.92e-04	3.92e-04	5.029622e-07
31	2.92e-04	3.96e-04	4.718583e-07
32	2.91e-04	3.94e-04	4.411351e-07
33	2.90e-04	3.87e-04	4.109424e-07
34	2.92e-04	3.85e-04	3.814270e-07
35	2.90e-04	3.86e-04	3.527330e-07
36	2.90e-04	3.90e-04	3.250000e-07
37	2.90e-04	3.90e-04	2.983632e-07
38	2.91e-04	3.96e-04	2.729523e-07
39	2.90e-04	4.00e-04	2.488912e-07
40	2.90e-04	3.98e-04	2.262971e-07
41	2.89e-04	3.92e-04	2.052800e-07
42	2.89e-04	3.89e-04	1.859424e-07
43	2.89e-04	3.86e-04	1.683784e-07
44	2.89e-04	3.88e-04	1.526736e-07
45	2.89e-04	3.86e-04	1.389045e-07
46	2.89e-04	3.87e-04	1.271383e-07
47	2.89e-04	3.89e-04	1.174322e-07
48	2.89e-04	3.89e-04	1.098336e-07
49	2.89e-04	3.90e-04	1.043794e-07
50	2.89e-04	3.91e-04	1.010962e-07
