epoch	train_loss	val_loss	lr
1	4.13e-04	3.62e-04	2.000000e-05
2	6.68e-04	6.31e-04	4.000000e-05
3	5.70e-04	1.08e-03	6.000000e-05
4	7.10e-04	7.16e-04	8.000000e-05
5	3.52e-04	1.64e-03	1.000000e-04
6	7.39e-04	6.61e-04	1.000000e-04
7	3.49e-04	1.01e-03	9.987821e-05
8	4.12e-04	5.27e-04	9.951345e-05
9	3.08e-04	4.45e-04	9.890749e-05
10	3.06e-04	4.47e-04	9.806328e-05
11	2.88e-04	5.37e-04	9.698493e-05
12	3.16e-04	8.04e-04	9.567771e-05
13	3.79e-04	3.23e-04	9.414796e-05
14	3.22e-04	5.52e-04	9.240316e-05
15	2.95e-04	5.88e-04	9.045180e-05
16	3.22e-04	4.22e-04	8.830339e-05
17	2.97e-04	7.83e-04	8.596839e-05
18	3.35e-04	3.66e-04	8.345818e-05
19	3.64e-04	5.12e-04	8.078500e-05
20	2.99e-04	5.10e-04	7.796185e-05
21	2.86e-04	6.38e-04	7.500250e-05
22	3.13e-04	4.63e-04	7.192137e-05
23	2.80e-04	3.22e-04	6.873346e-05
24	2.81e-04	6.94e-04	6.545430e-05
25	3.14e-04	5.48e-04	6.209989e-05
26	2.93e-04	6.35e-04	5.868654e-05
27	2.87e-04	8.92e-04	5.523090e-05
28	3.43e-04	3.47e-04	5.174980e-05
29	2.67e-04	6.99e-04	4.826020e-05
30	3.04e-04	2.99e-04	4.477910e-05
31	2.78e-04	3.04e-04	4.132346e-05
32	2.68e-04	5.34e-04	3.791011e-05
33	2.59e-04	4.35e-04	3.455570e-05
34	2.57e-04	4.99e-04	3.127654e-05
35	2.59e-04	4.38e-04	2.808863e-05
36	2.47e-04	3.52e-04	2.500750e-05
37	2.39e-04	4.39e-04	2.204815e-05
38	2.46e-04	4.41e-04	1.922500e-05
39	2.47e-04	6.32e-04	1.655182e-05
40	2.74e-04	3.59e-04	1.404161e-05
41	2.34e-04	4.12e-04	1.170661e-05
42	2.32e-04	2.86e-04	9.558195e-06
43	2.28e-04	2.82e-04	7.606835e-06
44	2.27e-04	2.90e-04	5.862035e-06
45	2.24e-04	3.22e-04	4.332295e-06
46	2.20e-04	3.52e-04	3.025067e-06
47	2.24e-04	3.41e-04	1.946722e-06
48	2.21e-04	3.49e-04	1.102511e-06
49	2.23e-04	3.40e-04	4.965479e-07
50	2.21e-04	3.38e-04	1.317853e-07
