epoch	train_loss	val_loss	lr
1	4.17e-04	3.46e-04	2.000000e-05
2	3.91e-04	2.96e-03	4.000000e-05
3	1.35e-03	3.23e-04	6.000000e-05
4	4.06e-04	4.85e-04	8.000000e-05
5	5.58e-04	6.47e-04	1.000000e-04
6	4.50e-04	8.03e-04	1.000000e-04
7	3.65e-04	4.12e-04	9.987820e-05
8	5.01e-04	6.03e-04	9.951341e-05
9	3.08e-04	1.08e-03	9.890739e-05
10	4.30e-04	7.57e-04	9.806310e-05
11	3.49e-04	6.34e-04	9.698466e-05
12	3.78e-04	7.06e-04	9.567732e-05
13	3.39e-04	3.80e-04	9.414744e-05
14	4.10e-04	3.76e-04	9.240248e-05
15	3.40e-04	8.99e-04	9.045095e-05
16	4.04e-04	5.27e-04	8.830234e-05
17	2.97e-04	2.95e-04	8.596713e-05
18	2.89e-04	5.33e-04	8.345670e-05
19	2.73e-04	5.00e-04	8.078327e-05
20	3.06e-04	4.14e-04	7.795987e-05
21	2.98e-04	5.02e-04	7.500025e-05
22	3.17e-04	3.48e-04	7.191884e-05
23	2.87e-04	8.64e-04	6.873064e-05
24	3.89e-04	2.88e-04	6.545120e-05
25	2.94e-04	3.77e-04	6.209647e-05
26	2.71e-04	2.95e-04	5.868282e-05
27	2.85e-04	2.95e-04	5.522687e-05
28	2.66e-04	3.82e-04	5.174546e-05
29	2.72e-04	2.87e-04	4.825554e-05
30	2.71e-04	3.16e-04	4.477413e-05
31	2.60e-04	4.66e-04	4.131818e-05
32	2.52e-04	5.86e-04	3.790453e-05
33	2.76e-04	3.19e-04	3.454980e-05
34	2.63e-04	4.41e-04	3.127036e-05
35	2.59e-04	2.95e-04	2.808216e-05
36	2.62e-04	3.62e-04	2.500075e-05
37	2.50e-04	3.42e-04	2.204113e-05
38	2.41e-04	2.85e-04	1.921773e-05
39	2.62e-04	3.18e-04	1.654430e-05
40	2.39e-04	3.26e-04	1.403387e-05
41	2.44e-04	3.35e-04	1.169866e-05
42	2.37e-04	2.83e-04	9.550055e-06
43	2.51e-04	3.31e-04	7.598519e-06
44	2.36e-04	3.43e-04	5.853562e-06
45	2.35e-04	3.64e-04	4.323684e-06
46	2.37e-04	3.63e-04	3.016339e-06
47	2.36e-04	3.41e-04	1.937896e-06
48	2.34e-04	3.26e-04	1.093609e-06
49	2.34e-04	3.29e-04	4.875917e-07
50	2.33e-04	3.29e-04	1.227963e-07
