epoch	train_loss	val_loss	lr
1	5.80e-04	7.17e-04	2.000000e-07
2	5.46e-04	6.76e-04	4.000000e-07
3	4.96e-04	6.33e-04	6.000000e-07
4	4.48e-04	5.87e-04	8.000000e-07
5	3.97e-04	5.38e-04	1.000000e-06
6	3.60e-04	5.10e-04	1.000000e-06
7	3.39e-04	4.89e-04	9.987942e-07
8	3.27e-04	4.63e-04	9.951827e-07
9	3.18e-04	4.56e-04	9.891831e-07
10	3.16e-04	4.52e-04	9.808245e-07
11	3.14e-04	4.24e-04	9.701478e-07
12	3.11e-04	4.12e-04	9.572050e-07
13	3.11e-04	4.08e-04	9.420591e-07
14	3.11e-04	4.04e-04	9.247838e-07
15	3.09e-04	4.03e-04	9.054634e-07
16	3.09e-04	4.10e-04	8.841920e-07
17	3.06e-04	4.31e-04	8.610732e-07
18	3.06e-04	4.46e-04	8.362197e-07
19	3.07e-04	4.45e-04	8.097524e-07
20	3.07e-04	4.40e-04	7.818005e-07
21	3.04e-04	4.41e-04	7.525000e-07
22	3.04e-04	4.38e-04	7.219937e-07
23	3.03e-04	4.29e-04	6.904303e-07
24	3.03e-04	4.28e-04	6.579634e-07
25	3.01e-04	4.39e-04	6.247513e-07
26	3.03e-04	4.33e-04	5.909558e-07
27	3.00e-04	4.18e-04	5.567416e-07
28	2.99e-04	4.15e-04	5.222753e-07
29	2.99e-04	4.15e-04	4.877247e-07
30	2.99e-04	4.18e-04	4.532584e-07
31	2.99e-04	4.28e-04	4.190442e-07
32	2.99e-04	4.24e-04	3.852487e-07
33	2.98e-04	4.21e-04	3.520366e-07
34	2.97e-04	4.22e-04	3.195697e-07
35	2.97e-04	4.13e-04	2.880063e-07
36	2.97e-04	4.13e-04	2.575000e-07
37	2.97e-04	4.10e-04	2.281995e-07
38	2.96e-04	4.09e-04	2.002476e-07
39	2.96e-04	4.09e-04	1.737803e-07
40	2.96e-04	4.10e-04	1.489268e-07
41	2.96e-04	4.06e-04	1.258080e-07
42	2.96e-04	4.05e-04	1.045366e-07
43	2.96e-04	4.06e-04	8.521619e-08
44	2.96e-04	4.07e-04	6.794094e-08
45	2.96e-04	4.07e-04	5.279500e-08
46	2.96e-04	4.06e-04	3.985215e-08
47	2.96e-04	4.06e-04	2.917546e-08
48	2.96e-04	4.06e-04	2.081694e-08
49	2.96e-04	4.06e-04	1.481731e-08
50	2.96e-04	4.05e-04	1.120580e-08
