epoch	train_loss	val_loss	lr
1	3.89e-04	4.58e-04	2.000000e-05
2	4.61e-04	1.18e-03	4.000000e-05
3	7.58e-04	3.67e-04	6.000000e-05
4	7.19e-04	3.64e-04	8.000000e-05
5	3.04e-04	4.40e-04	1.000000e-04
6	5.59e-04	9.55e-04	1.000000e-04
7	4.52e-04	7.07e-04	9.987942e-05
8	3.60e-04	5.78e-04	9.951827e-05
9	2.96e-04	4.67e-04	9.891831e-05
10	2.80e-04	3.22e-04	9.808245e-05
11	3.03e-04	3.10e-04	9.701478e-05
12	2.90e-04	5.63e-04	9.572050e-05
13	3.28e-04	5.00e-04	9.420591e-05
14	2.97e-04	4.96e-04	9.247838e-05
15	3.10e-04	3.15e-04	9.054634e-05
16	3.63e-04	1.27e-03	8.841920e-05
17	5.37e-04	5.21e-04	8.610732e-05
18	2.91e-04	5.96e-04	8.362197e-05
19	2.71e-04	3.13e-04	8.097524e-05
20	4.02e-04	3.77e-04	7.818005e-05
21	2.75e-04	4.42e-04	7.525000e-05
22	2.99e-04	9.40e-04	7.219937e-05
23	3.54e-04	5.50e-04	6.904303e-05
24	2.94e-04	6.23e-04	6.579634e-05
25	2.96e-04	5.36e-04	6.247513e-05
26	2.83e-04	5.98e-04	5.909558e-05
27	3.11e-04	4.24e-04	5.567416e-05
28	2.64e-04	7.43e-04	5.222753e-05
29	3.21e-04	5.06e-04	4.877247e-05
30	2.73e-04	5.56e-04	4.532584e-05
31	2.84e-04	4.63e-04	4.190442e-05
32	2.60e-04	4.48e-04	3.852487e-05
33	2.67e-04	4.11e-04	3.520366e-05
34	2.58e-04	3.26e-04	3.195697e-05
35	3.74e-04	3.09e-04	2.880063e-05
36	2.54e-04	4.37e-04	2.575000e-05
37	2.55e-04	2.86e-04	2.281995e-05
38	2.64e-04	2.88e-04	2.002476e-05
39	2.61e-04	3.37e-04	1.737803e-05
40	2.41e-04	2.78e-04	1.489268e-05
41	2.55e-04	3.13e-04	1.258080e-05
42	2.43e-04	3.76e-04	1.045366e-05
43	2.42e-04	3.49e-04	8.521619e-06
44	2.41e-04	3.89e-04	6.794094e-06
45	2.43e-04	3.38e-04	5.279500e-06
46	2.37e-04	3.28e-04	3.985215e-06
47	2.36e-04	3.53e-04	2.917546e-06
48	2.37e-04	3.44e-04	2.081694e-06
49	2.35e-04	3.43e-04	1.481731e-06
50	2.35e-04	3.41e-04	1.120580e-06
