epoch	train_loss	val_loss	lr
1	4.17e-04	3.99e-04	2.000000e-05
2	4.97e-04	5.08e-04	4.000000e-05
3	4.84e-04	2.69e-03	6.000000e-05
4	1.46e-03	3.68e-04	8.000000e-05
5	3.39e-04	5.56e-04	1.000000e-04
6	3.32e-04	4.16e-04	1.000000e-04
7	3.29e-04	4.05e-04	9.987832e-05
8	3.28e-04	3.66e-04	9.951389e-05
9	3.00e-04	6.60e-04	9.890847e-05
10	3.44e-04	5.32e-04	9.806502e-05
11	3.28e-04	3.89e-04	9.698765e-05
12	3.15e-04	8.66e-04	9.568160e-05
13	3.93e-04	5.06e-04	9.415323e-05
14	3.18e-04	5.85e-04	9.241000e-05
15	3.34e-04	3.76e-04	9.046040e-05
16	3.48e-04	4.90e-04	8.831392e-05
17	2.89e-04	2.98e-04	8.598102e-05
18	4.18e-04	3.74e-04	8.347307e-05
19	2.81e-04	2.99e-04	8.080229e-05
20	3.14e-04	5.63e-04	7.798169e-05
21	3.24e-04	3.49e-04	7.502500e-05
22	3.09e-04	4.60e-04	7.194664e-05
23	2.94e-04	4.45e-04	6.876160e-05
24	2.76e-04	5.53e-04	6.548540e-05
25	2.73e-04	5.72e-04	6.213400e-05
26	2.91e-04	3.54e-04	5.872373e-05
27	3.64e-04	5.61e-04	5.527120e-05
28	3.19e-04	4.20e-04	5.179323e-05
29	2.85e-04	3.97e-04	4.830677e-05
30	2.67e-04	7.11e-04	4.482880e-05
31	3.07e-04	3.33e-04	4.137627e-05
32	2.54e-04	6.22e-04	3.796600e-05
33	2.77e-04	2.78e-04	3.461460e-05
34	2.51e-04	2.80e-04	3.133840e-05
35	2.84e-04	2.73e-04	2.815336e-05
36	2.69e-04	3.59e-04	2.507500e-05
37	2.38e-04	4.44e-04	2.211831e-05
38	2.54e-04	3.74e-04	1.929771e-05
39	2.47e-04	4.41e-04	1.662693e-05
40	2.38e-04	4.05e-04	1.411898e-05
41	2.34e-04	2.91e-04	1.178608e-05
42	2.34e-04	3.94e-04	9.639601e-06
43	2.38e-04	4.38e-04	7.689998e-06
44	2.43e-04	3.76e-04	5.946768e-06
45	2.30e-04	3.22e-04	4.418404e-06
46	2.26e-04	3.35e-04	3.112354e-06
47	2.27e-04	3.48e-04	2.034978e-06
48	2.26e-04	3.41e-04	1.191527e-06
49	2.26e-04	3.42e-04	5.861100e-07
50	2.26e-04	3.40e-04	2.216757e-07
